Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
93015,Percentage of physically inactive adults,,,E92000001,England,England,Male,19+ yrs,,,2015/16,20.61145,20.34712,20.88604,20.17061,21.02725,,84985,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Female,19+ yrs,,,2015/16,23.93854,23.67863,24.19139,23.53572,24.32776,,107067,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,85+ yrs,,,2015/16,63.52882,62.01018,65.01272,61.14501,65.77613,,3930,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,25-34 yrs,,,2015/16,17.62553,17.16014,18.10792,16.84979,18.42245,,24481,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,35-44 yrs,,,2015/16,18.00251,17.58853,18.43988,17.35231,18.65351,,30895,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,45-54 yrs,,,2015/16,18.8809,18.4606,19.29215,18.20383,19.52849,,34273,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,55-64 yrs,,,2015/16,23.38793,22.96606,23.81761,22.69555,24.0643,,37699,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,65-74 yrs,,,2015/16,24.77077,24.33505,25.20375,24.08579,25.51743,,37300,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,75-84 yrs,,,2015/16,40.9081,40.13807,41.68656,39.70575,42.05433,,15499,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19-24 yrs,,,2015/16,14.20456,13.43893,14.97339,12.96869,15.35701,,8081,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,,,2015/16,22.33011,22.14532,22.52105,22.06257,22.6319,,192158,,,Not compared,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Working status,Inactive,2015/16,32.11715,31.77097,32.45397,31.56463,32.63753,,70278,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Working status,Unemployed,2015/16,28.61442,27.37741,29.83919,26.60312,30.53409,,5037,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Working status,Working,2015/16,17.27917,17.04993,17.511,16.92383,17.67848,,103889,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Disability,Disabled,2015/16,37.76394,37.23827,38.28988,36.92842,38.5434,,31951,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Disability,Not disabled,2015/16,18.1564,17.96236,18.35307,17.84711,18.45895,,149223,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,White British,2015/16,21.34119,21.1382,21.54305,21.02501,21.65442,,162535,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,White Other,2015/16,21.19372,20.39086,22.02461,19.90486,22.46925,,9671,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Asian,2015/16,29.24832,28.23656,30.26549,27.70587,30.89179,,7345,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Black,2015/16,28.86674,27.12766,30.6231,26.13974,31.61098,,2632,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Chinese,2015/16,28.7541,26.03143,31.53242,24.55786,33.39882,,1018,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Mixed,2015/16,17.47009,15.71509,19.27643,14.52798,20.40707,,1769,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Other,2015/16,28.53106,26.22036,30.96234,24.82552,32.28731,,1434,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Most deprived decile,2015/16,31.24533,30.59115,31.90937,30.23128,32.29051,89.0,18891,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Second most deprived decile,2015/16,25.83956,25.20938,26.45519,24.84295,26.77975,97.0,19104,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Third more deprived decile,2015/16,24.41745,23.81497,25.02079,23.51351,25.40542,105.0,19240,,,Worse,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Fourth more deprived decile,2015/16,22.07538,21.47909,22.64926,21.12024,23.00292,81.0,19228,,,Similar,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Fifth more deprived decile,2015/16,21.74449,21.17848,22.33518,20.89319,22.62047,73.0,19279,,,Similar,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Fifth less deprived decile,2015/16,20.10474,19.52709,20.67056,19.22181,21.00689,69.0,19327,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Fourth less deprived decile,2015/16,19.5854,19.02863,20.14705,18.70242,20.50433,77.0,19313,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Third less deprived decile,2015/16,19.46066,18.89437,20.02076,18.57773,20.32703,101.0,19265,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Second least deprived decile,2015/16,18.15752,17.60742,18.70108,17.31195,19.00692,93.0,19293,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles within area (IMD  trend),Least deprived decile,2015/16,16.59868,16.08119,17.12724,15.75332,17.41869,85.0,19215,,,Better,Not compared,20150000,,,1y
93015,Percentage of physically inactive adults,,,E92000001,England,England,Persons,19+ yrs,Level of education,No qualification,2015/16,45.49129,44.78178,46.19681,44.35637,46.57979,,18800,,,Worse,Not compared,20150000,,,1y
