Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Male,<75 yrs,,,2001,92.46255,91.04342,93.89819,90.23272,94.73055,16342.486,22795797,,,Not compared,Not compared,20010000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Female,<75 yrs,,,2001,38.6384,37.76605,39.52579,37.26997,40.0416,7473.50478,22931423,,,Not compared,Not compared,20010000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Persons,<75 yrs,,,2001,64.34942,63.53266,65.17404,63.06531,65.65171,23815.99078,45727220,,,Not compared,Not compared,20010000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Male,<75 yrs,,,2001,92.46255,91.04342,93.89819,90.23272,94.73055,16342.486,22795797,,,Similar,Not compared,20010000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Female,<75 yrs,,,2001,38.6384,37.76605,39.52579,37.26997,40.0416,7473.50478,22931423,,,Similar,Not compared,20010000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Persons,<75 yrs,,,2001,64.34942,63.53266,65.17404,63.06531,65.65171,23815.99078,45727220,,,Similar,Not compared,20010000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Male,<75 yrs,,,2002,87.43218,86.05939,88.82129,85.27532,89.62678,15635.538,22898520,,,Not compared,Not compared,20020000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Female,<75 yrs,,,2002,36.40701,35.56265,37.26632,35.08268,37.76592,7085.1795,23026523,,,Not compared,Not compared,20020000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Persons,<75 yrs,,,2002,60.82884,60.03794,61.62753,59.58547,62.09022,22720.7175,45925043,,,Not compared,Not compared,20020000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Male,<75 yrs,,,2002,87.43218,86.05939,88.82129,85.27532,89.62678,15635.538,22898520,,,Similar,Not compared,20020000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Female,<75 yrs,,,2002,36.40701,35.56265,37.26632,35.08268,37.76592,7085.1795,23026523,,,Similar,Not compared,20020000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Persons,<75 yrs,,,2002,60.82884,60.03794,61.62753,59.58547,62.09022,22720.7175,45925043,,,Similar,Not compared,20020000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Male,<75 yrs,,,2003,82.31089,80.98611,83.65182,80.22964,84.42947,14893.608,23011976,,,Not compared,Not compared,20030000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Female,<75 yrs,,,2003,34.0462,33.23245,34.87482,32.77007,35.35669,6672.05091,23136932,,,Not compared,Not compared,20030000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Persons,<75 yrs,,,2003,57.18759,56.4241,57.95881,55.98741,58.40564,21565.65891,46148908,,,Not compared,Not compared,20030000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Male,<75 yrs,,,2003,82.31089,80.98611,83.65182,80.22964,84.42947,14893.608,23011976,,,Similar,Not compared,20030000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Female,<75 yrs,,,2003,34.0462,33.23245,34.87482,32.77007,35.35669,6672.05091,23136932,,,Similar,Not compared,20030000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Persons,<75 yrs,,,2003,57.18759,56.4241,57.95881,55.98741,58.40564,21565.65891,46148908,,,Similar,Not compared,20030000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Male,<75 yrs,,,2004,75.57861,74.31563,76.85757,73.59472,77.59944,13826.92,23134252,,,Not compared,Not compared,20040000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Female,<75 yrs,,,2004,30.46794,29.69965,31.25104,29.26346,31.70666,5992.2744,23257235,,,Not compared,Not compared,20040000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Persons,<75 yrs,,,2004,52.1406,51.41425,52.87462,50.99896,53.29998,19819.1944,46391487,,,Not compared,Not compared,20040000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Male,<75 yrs,,,2004,75.57861,74.31563,76.85757,73.59472,77.59944,13826.92,23134252,,,Similar,Not compared,20040000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Female,<75 yrs,,,2004,30.46794,29.69965,31.25104,29.26346,31.70666,5992.2744,23257235,,,Similar,Not compared,20040000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,E92000001,England,E92000001,England,England,Persons,<75 yrs,,,2004,52.1406,51.41425,52.87462,50.99896,53.29998,19819.1944,46391487,,,Similar,Not compared,20040000,,,1y
93722,Under 75 mortality rate from cardiovascular disease considered preventable,,,E92000001,England,England,Male,<75 yrs,,,2005,69.87402,68.66671,71.09711,67.97783,71.80672,12942.486,23318978,,,Not compared,Not compared,20050000,,,1y
