locationId,odsCode,name,region,localAuthority,postalCode,onspdIcbCode,onspdIcbName,registrationStatus,overallRating,overallReportDate,safeRating,effectiveRating,caringRating,responsiveRating,well-ledRating
1-543716853,C84060,Rivergreen Medical Centre,East Midlands,Nottingham,NG11 8AD,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Registered,Good,2016-12-07,Good,Good,Good,Good,Good
1-543719159,E82007,Hanscombe House Surgery,East,Hertfordshire,SG14 1JA,E54000065,NHS Central East Integrated Care Board,Registered,Good,2016-08-05,Good,Good,Good,Good,Good
1-543720898,P92642,Marus Bridge Practice,North West,Wigan,WN3 5HL,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Outstanding,2016-10-10,Outstanding,Outstanding,Outstanding,Good,Outstanding
1-543722344,B81113,Cedar Medical Practice,Yorkshire & Humberside,North Lincolnshire,DN16 2AB,E54000051,NHS Humber and North Yorkshire Integrated Care Board,Registered,Good,2016-02-04,Good,Good,Good,Good,Good
1-543750780,M83011,Werrington Village Surgery,West Midlands,Staffordshire,ST9 0JS,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Registered,,,,,,,
1-543759979,A81022,Hillside Practice,North East,Redcar and Cleveland,TS12 2TG,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Good,2016-09-07,Good,Good,Good,Good,Good
1-543761994,P81037,Dr Norcross & Partners,North West,Lancashire,FY8 4GW,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Registered,Good,2017-01-17,Good,Good,Good,Good,Good
1-543762431,L84084,Brockworth Surgery,South West,Gloucestershire,GL3 4PE,E54000043,NHS Gloucestershire Integrated Care Board,Registered,Good,2021-12-08,Good,Good,Good,Good,Good
1-543768216,P81191,Queensway Medical Centre,North West,Lancashire,FY6 7ST,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Registered,Good,2024-01-23,Good,Good,Good,Good,Good
1-543777800,N81005,Helsby Health Centre,North West,Cheshire West and Chester,WA6 0BW,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Registered,Good,2017-03-27,Good,Good,Good,Good,Good
