AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,809070.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),2.14,Persons,Sex,0,17550.0,To March 2026,2.2,2.17,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,414495.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),1.98,Female,Sex,0,8390.0,To March 2026,2.07,2.02,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,394570.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),2.27,Male,Sex,0,9160.0,To March 2026,2.37,2.32,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,133980.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),0.72,18-39,Age group,0,1020.0,To March 2026,0.81,0.76,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,136215.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),0.6,18-39,Age group,0,875.0,To March 2026,0.68,0.64,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,270195.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),0.67,18-39,Age group,0,1895.0,To March 2026,0.73,0.7,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,127825.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),2.87,40-59,Age group,0,3790.0,To March 2026,3.06,2.96,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,130280.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),2.18,40-59,Age group,0,2945.0,To March 2026,2.34,2.26,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,258105.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),2.55,40-59,Age group,0,6735.0,To March 2026,2.67,2.61,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,106890.0,,,CVDP005HYP,"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension ",Hypertension: High risk â one high BP with no recorded hypertension (CVDP005HYP),3.39,60-79,Age group,0,3740.0,To March 2026,3.61,3.5,
